"Response","Predictor","P_value","Deviance_Explained_Percent","Effective_DF","F_value","AIC","Significance"
"shannon","Dissolved O2",0.0621307081833965,17.51,1.332,3.864,62.44,"ns"
"number_of_species","Dissolved O2",0.0119392727771347,20.52,1,7.23,238.92,"*"
"shannon","Temperature",0.217986011462823,5.38,1.001,1.588,65.89,"ns"
"number_of_species","Temperature",0.0378590053683037,14.51,1,4.75,241.11,"*"
"shannon","Salinity",0.642690411713327,4.1,1.319,0.596,66.93,"ns"
"number_of_species","Salinity",0.175970480472807,6.44,1,1.928,243.81,"ns"
"shannon","Suspended Solids",0.675755476156464,4.86,1.492,0.357,67.04,"ns"
"number_of_species","Suspended Solids",0.0181839828833909,53.54,6.48,3.045,233.78,"*"
"shannon","Sediment Particle Size",0.795994954247633,0.24,1,0.068,67.48,"ns"
"number_of_species","Sediment Particle Size",0.904784851602804,0.05,1,0.015,245.8,"ns"
"shannon","pH",0.290832092985734,3.98,1,1.159,66.33,"ns"
"number_of_species","pH",0.0237305760977036,53.28,6.691,3.016,234.37,"*"
