"River_Basin","Variable","Mean","SD","N"
"Serinhaem","temperature",27.798,0.868,8
"Serinhaem","salinity",30.185,2.982,8
"Serinhaem","pH",8.162,0.248,8
"Serinhaem","dissolved_o2",3.641,0.52,8
"Serinhaem","suspended_solids",23.294,2.069,8
"Serinhaem","sediment_particle_size",211.825,115.968,8
"Sorojo","temperature",27.66,1.202,12
"Sorojo","salinity",27.19,5.707,12
"Sorojo","pH",7.805,0.382,12
"Sorojo","dissolved_o2",4.479,0.42,12
"Sorojo","suspended_solids",26.692,6.853,12
"Sorojo","sediment_particle_size",186.402,125.966,12
"Marau","temperature",27.45,0.966,10
"Marau","salinity",32.984,2.19,10
"Marau","pH",8.259,0.224,10
"Marau","dissolved_o2",4.267,0.824,10
"Marau","suspended_solids",25.206,1.488,10
"Marau","sediment_particle_size",236.126,203.069,10
