environment,sampling_points,season,temperature,salinity,pH,dissolved_o2,suspended_solids,sediment_particle_size
Serinhaem,N1,Wet,26.96,32.96,8.37,4.42,26.94,76.5
Serinhaem,N2,Wet,27.12,29.66,8.39,4.01,21.47,307.3
Serinhaem,N3,Wet,27.65,28.33,8.27,3.63,24.19,290.4
Serinhaem,N4,Wet,28.09,26.36,8.02,3.72,23.03,297.4
Sorojo,C5,Wet,26.17,31.25,8.2,5.21,26.69,258.1
Sorojo,C6,Wet,27.9,32.16,8.09,4.17,25.59,65.6
Sorojo,C7,Wet,28.27,21.42,7.94,5.32,21.09,68.5
Sorojo,C8,Wet,27.3,28.3,7.96,4.39,23.54,323.8
Sorojo,C9,Wet,28.63,19.22,7.33,4.28,39.2,337.2
Sorojo,C10,Wet,25.61,20.68,7.11,4.41,36.78,265.4
Marau,S1,Wet,26.78,33.7,8.57,5.4,27.78,82.46
Marau,S2,Wet,27.14,32.84,8.52,5.55,26.07,304
Marau,S3,Wet,27.26,31.95,8.34,4.23,26.26,292
Marau,S4,Wet,26.55,31.3,8.41,5.22,26.26,537.1
Marau,S5,Wet,27.67,29.72,8.13,4.15,23.38,323.7
Serinhaem,N1,Dry,26.63,35.43,8.41,3.82,25.17,77.9
Serinhaem,N2,Dry,28.26,27.55,7.7,2.62,22.92,340.6
Serinhaem,N3,Dry,28.46,31.44,7.99,3.46,22.01,76.1
Serinhaem,N4,Dry,29.21,29.75,8.15,3.45,20.62,228.4
Sorojo,C5,Dry,29.59,35.09,8.05,4.41,23.95,82.6
Sorojo,C6,Dry,27.6,33.39,8.21,4.22,24.65,69.9
Sorojo,C7,Dry,28.03,30.38,7.86,4.05,23.45,306.5
Sorojo,C8,Dry,29.21,30.48,7.95,4.35,22.02,78.6
Sorojo,C9,Dry,27.15,21.79,7.76,4.84,17.4,44.32
Sorojo,C10,Dry,26.46,22.12,7.2,4.1,35.94,336.3
Marau,S1,Dry,27.82,36.77,8.05,3.47,25.68,578.2
Marau,S2,Dry,26.28,34.31,8.46,3.7,25.09,83.6
Marau,S3,Dry,29.34,34.46,8.1,3.7,24.5,65.2
Marau,S4,Dry,26.94,34.53,8.04,3.91,24.06,26.5
Marau,S5,Dry,28.72,30.26,7.97,3.34,22.98,68.5
