"Environment","Variable","Mean","SD","N"
"Serinhaem","Mg",764.615,521.571,8
"Serinhaem","K",778.8,534.202,8
"Serinhaem","Ca",463.685,366.592,8
"Serinhaem","P",0.001,0,8
"Serinhaem","Al",0.121,0.128,8
"Serinhaem","V",0.034,0.029,8
"Serinhaem","B",3.578,2.257,8
"Serinhaem","Fe",0.001,0,8
"Serinhaem","Cu",0.022,0.022,8
"Sorojo","Mg",474.905,413.394,12
"Sorojo","K",293.22,262.036,12
"Sorojo","Ca",218.255,202.673,12
"Sorojo","P",0.001,0,12
"Sorojo","Al",0.844,0.88,12
"Sorojo","V",0.037,0.021,12
"Sorojo","B",1.553,1.199,12
"Sorojo","Fe",0.523,0.546,12
"Sorojo","Cu",0.022,0.022,12
"Marau","Mg",628.4,630.242,10
"Marau","K",672.485,686.441,10
"Marau","Ca",403.955,418.206,10
"Marau","P",0.001,0,10
"Marau","Al",0.105,0.11,10
"Marau","V",0.009,0.008,10
"Marau","B",2.749,2.678,10
"Marau","Fe",0.001,0,10
"Marau","Cu",0.029,0.03,10
